,TopMatch1,TopMatch2,TopMatch3,TopMatch4,TopMatch5
(2<i>S</i>)-ethylmalonyl-CoA biosynthesis,"('L-methylmalonyl-CoA biosynthetic process', 0.75)","('L-methylmalonyl-CoA biosynthetic process', 0.75)","('malonyl-CoA biosynthetic process', 0.7)","('malonyl-CoA biosynthetic process', 0.7)","('2-methylbutanoyl-CoA(4-) biosynthetic process', 0.7)"
"(2S,3E)-2-amino-4-methoxy-but-3-enoate biosynthesis","('2-hydroxy-but-3-enyl glucosinolate biosynthetic process', 0.5849056603773585)","('2-hydroxy-but-3-enyl glucosinolate biosynthetic process', 0.5849056603773585)","('2-methylbut-2-enoyl-CoA(4-) biosynthetic process', 0.57)","('3-methylbut-2-enoyl-CoA(4-) biosynthetic process', 0.57)","('2-methylbut-2-enoyl-CoA(4-) biosynthetic process', 0.57)"
"(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis I","('18-methylnonadec-1-ene biosynthetic process', 0.6060606060606061)","('18-methylnonadec-1-ene biosynthetic process', 0.6060606060606061)","('17-methylnonadec-1-ene biosynthetic process', 0.5858585858585859)","('17-methylnonadec-1-ene biosynthetic process', 0.5858585858585859)","('7-methylguanosine biosynthetic process', 0.58)"
"(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis II","('18-methylnonadec-1-ene biosynthetic process', 0.6)","('18-methylnonadec-1-ene biosynthetic process', 0.6)","('17-methylnonadec-1-ene biosynthetic process', 0.58)","('17-methylnonadec-1-ene biosynthetic process', 0.58)","('7-methylguanosine biosynthetic process', 0.57)"
(3<i>R</i>)-linalool biosynthesis,"('sideretin biosynthesis', 0.63)","('tRNA 4-thiouridine biosynthesis', 0.63)","('diorcinol biosynthetic process', 0.61)","('diorcinol biosynthetic process', 0.61)","('diorcinol biosynthetic process', 0.61)"
(3<i>R</i>)-N-[(2<i>S</i>)-1-hydroxy-6-[(3<i>R</i>)-3-isocyanobutanamido]hexan-2-yl]-3-isocyanobutanamide biosynthesis,"('4-hydroxyindole-3- carbonyl nitrile biosynthesis', 0.45)","('nicotinamide nucleotide biosynthetic process from niacinamide', 0.44)","('nicotinamide nucleotide biosynthetic process from niacinamide', 0.44)","('2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine-tRNA biosynthesis', 0.43)","('spermidine hydroxycinnamate conjugate biosynthetic process', 0.41)"
(3<i>S</i>)-diazinane-3-carboxylate biosynthesis,"('carbohydrate derivative biosynthetic process', 0.64)","('carbohydrate derivative biosynthetic process', 0.64)","('4-hydroxyindole-3- carbonyl nitrile biosynthesis', 0.64)","('1-aminocyclopropane-1-carboxylate biosynthetic process', 0.6274509803921569)","('1-aminocyclopropane-1-carboxylate biosynthetic process', 0.6274509803921569)"
(3<i>S</i>)-linalool biosynthesis,"('sideretin biosynthesis', 0.63)","('tRNA 4-thiouridine biosynthesis', 0.63)","('diorcinol biosynthetic process', 0.61)","('diorcinol biosynthetic process', 0.61)","('diorcinol biosynthetic process', 0.61)"
(4<i>R</i>)-4-[(<i>E</i>)-2-butenyl]-4-methyl-L-threonine biosynthesis,"('2-methylbut-2-enoyl-CoA(4-) biosynthetic process', 0.57)","('3-methylbut-2-enoyl-CoA(4-) biosynthetic process', 0.57)","('2-methylbut-2-enoyl-CoA(4-) biosynthetic process', 0.57)","('3-methylbut-2-enoyl-CoA(4-) biosynthetic process', 0.57)","('2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine-tRNA biosynthesis', 0.54)"
(4<i>R</i>)-carveol and (4<i>R</i>)-dihydrocarveol degradation,"('protein O-linked glycosylation via hydroxyproline', 0.45)","('protein O-linked glycosylation via hydroxyproline', 0.45)","('target-directed miRNA degradation', 0.44)","('target-directed miRNA degradation', 0.44)","('cholesterol biosynthetic process via 24,25-dihydrolanosterol', 0.44)"
(4<i>R</i>)-carvone biosynthesis,"('tRNA m2,2-guanine biosynthesis', 0.69)","('tRNA 4-thiouridine biosynthesis', 0.68)","('carotene biosynthetic process', 0.67)","('carotene biosynthetic process', 0.67)","('carnosine biosynthetic process', 0.66)"
(4<i>S</i>)-carveol and (4<i>S</i>)-dihydrocarveol degradation,"('fatty acid derivative catabolic process', 0.47)","('fatty acid derivative catabolic process', 0.47)","('7,8-didemethyl-8-hydroxy-5-deazariboflavin catabolic process', 0.46)","('granaticin catabolic process', 0.46)","('7,8-didemethyl-8-hydroxy-5-deazariboflavin catabolic process', 0.46)"
(4S)-carvone biosynthesis,"('fraxetin biosynthesis', 0.68)","('sideretin biosynthesis', 0.67)","('cAMP biosynthetic process', 0.67)","('cAMP biosynthetic process', 0.67)","('cAMP biosynthetic process', 0.67)"
"(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)","('(Z)-nonadeca-1,14-diene biosynthetic process', 0.4603174603174603)","('(Z)-nonadeca-1,14-diene biosynthetic process', 0.4603174603174603)","('5,6,7,8-tetrahydrosarcinapterin biosynthetic process', 0.46)","('5,6,7,8-tetrahydrosarcinapterin biosynthetic process', 0.46)","('5,6,7,8-tetrahydrosarcinapterin biosynthetic process', 0.46)"
"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoate biosynthesis (6-desaturase)","('pentalenolactone biosynthetic process', 0.5098039215686274)","('pentalenolactone biosynthetic process', 0.5098039215686274)","('pentalenolactone biosynthetic process', 0.5098039215686274)","('pentalenolactone biosynthetic process', 0.5098039215686274)","('pentalenolactone biosynthetic process', 0.5098039215686274)"
(5<i>R</i>)-carbapenem carboxylate biosynthesis,"('carbapenem biosynthetic process', 0.65)","('carbapenem biosynthetic process', 0.65)","('4-hydroxyindole-3- carbonyl nitrile biosynthesis', 0.64)","('carbohydrate biosynthetic process', 0.61)","('carbohydrate biosynthetic process', 0.61)"
(5Z)-dodecenoate biosynthesis I,"('sideretin biosynthesis', 0.67)","('1-undecene biosynthetic process', 0.63)","('octadecene biosynthetic process', 0.63)","('1-undecene biosynthetic process', 0.63)","('octadecene biosynthetic process', 0.63)"
(5Z)-dodecenoate biosynthesis II,"('sideretin biosynthesis', 0.65)","('rhamnolipid biosynthesis', 0.63)","('1-undecene biosynthetic process', 0.62)","('octadecene biosynthetic process', 0.62)","('1-undecene biosynthetic process', 0.62)"
(5<i>Z</i>)-icosenoate biosynthesis,"('tRNA 4-thiouridine biosynthesis', 0.65)","('glycosinolate biosynthetic process', 0.62)","('glycosinolate biosynthetic process', 0.62)","('glycosinolate biosynthetic process', 0.62)","('glucosinolate biosynthetic process', 0.62)"
"(7Z,10Z,13Z)-hexadecatrienoate biosynthesis","('hexadecanal biosynthetic process', 0.5866666666666667)","('hexadecanal biosynthetic process', 0.5866666666666667)","('(Z)-nonadeca-1,14-diene biosynthetic process', 0.5747126436781609)","('(Z)-nonadeca-1,14-diene biosynthetic process', 0.5747126436781609)","('sideretin biosynthesis', 0.57)"
"(8<i>E</i>,10<i>E</i>)-dodeca-8,10-dienol biosynthesis","('(Z)-nonadeca-1,14-diene biosynthetic process', 0.6)","('(Z)-nonadeca-1,14-diene biosynthetic process', 0.6)","('ent-pimara-8(14),15-diene biosynthetic process', 0.58)","('ent-pimara-8(14),15-diene biosynthetic process', 0.58)","('regulation of (Z)-nonadeca-1,14-diene biosynthetic process', 0.56)"
(9<i>Z</i>)-tricosene biosynthesis,"('tRNA m2,2-guanine biosynthesis', 0.67)","('tRNA 4-thiouridine biosynthesis', 0.66)","('sideretin biosynthesis', 0.62)","('tRNA wobble base lysidine biosynthesis', 0.62)","('nitrobenzene biosynthetic process', 0.6)"
(aminomethyl)phosphonate degradation,"('2-aminoethylphosphonate catabolic process', 0.6753246753246753)","('2-aminoethylphosphonate catabolic process', 0.6753246753246753)","('2-aminoethylphosphonate metabolic process', 0.6493506493506493)","('2-aminoethylphosphonate metabolic process', 0.6493506493506493)","('histone demethylation', 0.61)"
"(<i>E,E</i>)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis","('17-methylnonadec-1-ene biosynthetic process', 0.55)","('18-methylnonadec-1-ene biosynthetic process', 0.55)","('17-methylnonadec-1-ene biosynthetic process', 0.55)","('18-methylnonadec-1-ene biosynthetic process', 0.55)","('5,6,7,8-tetrahydromethanopterin biosynthetic process', 0.54)"
(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>E. coli</i>),"('Kdo2-lipid A biosynthetic process', 0.67)","('Kdo2-lipid A biosynthetic process', 0.67)","('Kdo2-lipid A biosynthetic process', 0.67)","('Kdo2-lipid A biosynthetic process', 0.67)","('Kdo2-lipid A biosynthetic process', 0.67)"
(Kdo)<sub>2</sub>-lipid A biosynthesis (generic),"('Kdo2-lipid A biosynthetic process', 0.69)","('Kdo2-lipid A biosynthetic process', 0.69)","('Kdo2-lipid A biosynthetic process', 0.69)","('Kdo2-lipid A biosynthetic process', 0.69)","('Kdo2-lipid A biosynthetic process', 0.69)"
(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>H. pylori</i>),"('Kdo2-lipid A biosynthetic process', 0.68)","('Kdo2-lipid A biosynthetic process', 0.68)","('Kdo2-lipid A biosynthetic process', 0.68)","('Kdo2-lipid A biosynthetic process', 0.68)","('Kdo2-lipid A biosynthetic process', 0.68)"
(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>P. gingivalis</i>),"('Kdo2-lipid A biosynthetic process', 0.62)","('Kdo2-lipid A biosynthetic process', 0.62)","('Kdo2-lipid A biosynthetic process', 0.62)","('Kdo2-lipid A biosynthetic process', 0.62)","('Kdo2-lipid A biosynthetic process', 0.62)"
(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>P. putida</i>),"('Kdo2-lipid A biosynthetic process', 0.65)","('Kdo2-lipid A biosynthetic process', 0.65)","('Kdo2-lipid A biosynthetic process', 0.65)","('Kdo2-lipid A biosynthetic process', 0.65)","('Kdo2-lipid A biosynthetic process', 0.65)"
(Kdo)<sub>2</sub>-lipid A biosynthesis I (<i>Brucella</i>),"('Kdo2-lipid A biosynthetic process', 0.63)","('Kdo2-lipid A biosynthetic process', 0.63)","('Kdo2-lipid A biosynthetic process', 0.63)","('Kdo2-lipid A biosynthetic process', 0.63)","('Kdo2-lipid A biosynthetic process', 0.63)"
(Kdo)<sub>2</sub>-lipid A modification (<i>H. pylori</i>),"('lipid modification by small protein conjugation', 0.62)","('lipid modification', 0.55)","('Kdo2-lipid A metabolic process', 0.55)","('Kdo2-lipid A metabolic process', 0.55)","('Kdo2-lipid A metabolic process', 0.55)"
(R)- and (S)-3-hydroxybutanoate biosynthesis (engineered),"('3,4-dihydroxybenzoate biosynthetic process', 0.67)","('3,4-dihydroxybenzoate biosynthetic process', 0.67)","('3,4-dihydroxybenzoate biosynthetic process', 0.67)","('poly(3-hydroxyalkanoate) biosynthetic process', 0.62)","('poly(3-hydroxyalkanoate) biosynthetic process', 0.62)"
(<i>R</i>)-camphor degradation,"('target-directed miRNA degradation', 0.59)","('target-directed miRNA degradation', 0.59)","('target-directed miRNA degradation', 0.59)","('NADPH regeneration', 0.56)","('NADPH regeneration', 0.56)"
(<i>R</i>)-canadine biosynthesis,"('tRNA m2,2-guanine biosynthesis', 0.74)","('cadinene biosynthetic process', 0.68)","('cadinene biosynthetic process', 0.68)","('cadinene biosynthetic process', 0.68)","('carnitine biosynthetic process', 0.67)"
(<i>R</i>)-cysteate degradation,"('peptidyl-cysteine deglycation', 0.62)","('peptidyl-cysteine deglycation', 0.62)","('target-directed miRNA degradation', 0.58)","('target-directed miRNA degradation', 0.58)","('N-terminal peptidyl-cysteine deamination', 0.58)"
(R)-lactate fermentation to propanoate II (acrylate pathway),"('lactate fermentation to propionate and acetate', 0.75)","('lactate fermentation to propionate and acetate', 0.75)","('ethanol-acetate fermentation to butyrate and caproate', 0.6194690265486725)","('glucose fermentation to lactate and acetate', 0.61)","('glucose fermentation to lactate and acetate', 0.61)"
"(<i>R,R</i>)-butanediol biosynthesis","('butanediol biosynthetic process', 0.74)","('butanediol biosynthetic process', 0.74)","('butanediol biosynthetic process', 0.74)","('rhamnolipid biosynthesis', 0.69)","('1-butanol biosynthetic process', 0.66)"
"(R,R)-butanediol degradation","('glycolytic fermentation to butanediol', 0.63)","('ethanol oxidation', 0.56)","('ethanol oxidation', 0.56)","('butanediol catabolic process', 0.56)","('butanediol catabolic process', 0.56)"
(<i>S</i>)-camphor degradation,"('NADPH regeneration', 0.56)","('NADPH regeneration', 0.56)","('target-directed miRNA degradation', 0.55)","('target-directed miRNA degradation', 0.55)","('target-directed miRNA degradation', 0.55)"
"(<i>S</i>)-lactate fermentation to propanoate, acetate and hydrogen","('lactate fermentation to propionate and acetate', 0.82)","('lactate fermentation to propionate and acetate', 0.82)","('glucose fermentation to lactate and acetate', 0.73)","('glucose fermentation to lactate and acetate', 0.73)","('ethanol-acetate fermentation to butyrate and caproate', 0.6)"
"(<i>S</i>)-propane-1,2-diol degradation","('target-directed miRNA degradation', 0.57)","('target-directed miRNA degradation', 0.57)","('target-directed miRNA degradation', 0.57)","('granaticin metabolic process', 0.55)","('granaticin metabolic process', 0.55)"
(<i>S</i>)-reticuline biosynthesis I,"('(S)-reticuline biosynthetic process', 0.75)","('(S)-reticuline biosynthetic process', 0.75)","('(S)-reticuline biosynthetic process', 0.75)","('(S)-reticuline biosynthetic process', 0.75)","('(S)-reticuline biosynthetic process', 0.75)"
(S)-reticuline biosynthesis II,"('(S)-reticuline biosynthetic process', 0.8)","('(S)-reticuline biosynthetic process', 0.8)","('(S)-reticuline biosynthetic process', 0.8)","('(S)-reticuline biosynthetic process', 0.8)","('(S)-reticuline biosynthetic process', 0.8)"
"(<i>S,S</i>)-butanediol biosynthesis","('butanediol biosynthetic process', 0.77)","('butanediol biosynthetic process', 0.77)","('butanediol biosynthetic process', 0.77)","('rhamnolipid biosynthesis', 0.69)","('1-butanol biosynthetic process', 0.69)"
"(S,S)-butanediol degradation","('butanediol catabolic process', 0.63)","('glycolytic fermentation to butanediol', 0.63)","('butanediol catabolic process', 0.63)","('butanediol metabolic process', 0.59)","('butanediol metabolic process', 0.59)"
(<i>Z</i>)-butanethial-<i>S</i>-oxide biosynthesis,"('butanediol biosynthetic process', 0.63)","('butanediol biosynthetic process', 0.63)","('butanediol biosynthetic process', 0.63)","('1-butanol biosynthetic process', 0.58)","('1-butanol biosynthetic process', 0.58)"
(<i>Z</i>)-phenylmethanethial <i>S</i>-oxide biosynthesis,"('nitric-oxide synthase biosynthetic process', 0.59)","('phenylethylamine biosynthetic process', 0.58)","('phenylethylamine biosynthetic process', 0.58)","('phenylethylamine biosynthetic process', 0.58)","('Z-phenylacetaldoxime biosynthetic process', 0.5714285714285714)"
"1,2,4,5-tetrachlorobenzene degradation","('1,2,4-trichlorobenzene metabolic process', 0.6410256410256411)","('1,4-dichlorobenzene catabolic process', 0.5866666666666667)","('1,4-dichlorobenzene catabolic process', 0.5866666666666667)","('1,4-dichlorobenzene catabolic process', 0.5866666666666667)","('1,4-dichlorobenzene metabolic process', 0.56)"
"1,2,4-trichlorobenzene degradation","('1,2,4-trichlorobenzene metabolic process', 0.7027027027027027)","('1,4-dichlorobenzene catabolic process', 0.647887323943662)","('1,4-dichlorobenzene catabolic process', 0.647887323943662)","('1,4-dichlorobenzene catabolic process', 0.647887323943662)","('1,4-dichlorobenzene metabolic process', 0.6197183098591549)"
"1,2-dichlorobenzene degradation","('1,4-dichlorobenzene catabolic process', 0.6764705882352942)","('1,4-dichlorobenzene catabolic process', 0.6764705882352942)","('1,4-dichlorobenzene catabolic process', 0.6764705882352942)","('1,4-dichlorobenzene metabolic process', 0.6470588235294118)","('1,2,4-trichlorobenzene metabolic process', 0.6197183098591549)"
"1,2-dichloroethane degradation","('1,2-dichloroethane catabolic process', 0.696969696969697)","('1,2-dichloroethane catabolic process', 0.696969696969697)","('1,2-dichloroethane metabolic process', 0.6666666666666666)","('target-directed miRNA degradation', 0.6031746031746031)","('target-directed miRNA degradation', 0.6031746031746031)"
"1,2-propanediol biosynthesis from lactate (engineered)","('D(-)-lactate biosynthetic process from pyruvate', 0.67)","('lactate biosynthetic process from pyruvate', 0.64)","('lactate biosynthetic process from pyruvate', 0.64)","('L(+)-lactate biosynthetic process from pyruvate', 0.62)","('propan-2-ol biosynthetic process', 0.6)"
"1,3,5-trimethoxybenzene biosynthesis","('trimethylenediamine biosynthetic process', 0.6578947368421053)","('trimethylenediamine biosynthetic process', 0.6578947368421053)","('3,4-dihydroxybenzoate biosynthetic process', 0.6410256410256411)","('3,4-dihydroxybenzoate biosynthetic process', 0.6410256410256411)","('3,4-dihydroxybenzoate biosynthetic process', 0.6410256410256411)"
"1,3,6,7-tetrahydroxyxanthone biosynthesis (from benzoyl-CoA)","('5,6,7,8-tetrahydromethanopterin biosynthetic process', 0.62)","('5,6,7,8-tetrahydrosarcinapterin biosynthetic process', 0.62)","('5,6,7,8-tetrahydromethanopterin biosynthetic process', 0.62)","('5,6,7,8-tetrahydrosarcinapterin biosynthetic process', 0.62)","('5,6,7,8-tetrahydromethanopterin biosynthetic process', 0.62)"
"1,3-&beta;-D-glucan biosynthesis","('(1->3)-beta-D-glucan biosynthetic process', 0.82)","('(1->3)-beta-D-glucan biosynthetic process', 0.82)","('(1->6)-beta-D-glucan biosynthetic process', 0.79)","('(1->6)-beta-D-glucan biosynthetic process', 0.79)","('cell wall (1->3)-beta-D-glucan biosynthetic process', 0.72)"
"1,3-dichlorobenzene degradation","('1,4-dichlorobenzene catabolic process', 0.6764705882352942)","('1,4-dichlorobenzene catabolic process', 0.6764705882352942)","('1,4-dichlorobenzene catabolic process', 0.6764705882352942)","('1,4-dichlorobenzene metabolic process', 0.6470588235294118)","('1,2,4-trichlorobenzene metabolic process', 0.5915492957746479)"
"1,3-dimethylbenzene degradation to 3-methylbenzoate","('methionine catabolic process to 3-methylthiopropanoate', 0.5523809523809524)","('methionine catabolic process to 3-methylthiopropanoate', 0.5523809523809524)","('methionine catabolic process to 3-methylthiopropanoate', 0.5523809523809524)","('methionine catabolic process to 3-methylthiopropanoate', 0.5523809523809524)","('positive regulation of histone H3-K9 methylation', 0.5050505050505051)"
"1,3-propanediol biosynthesis (engineered)","('heptadec-1-ene biosynthetic process', 0.62)","('heptadec-1-ene biosynthetic process', 0.62)","('gibberellin 12 biosynthetic process', 0.62)","('gibberellin 12 biosynthetic process', 0.62)","('gibberellin 12 biosynthetic process', 0.62)"
"1,4-dichlorobenzene degradation","('1,4-dichlorobenzene catabolic process', 0.7058823529411765)","('1,4-dichlorobenzene catabolic process', 0.7058823529411765)","('1,4-dichlorobenzene catabolic process', 0.7058823529411765)","('1,4-dichlorobenzene metabolic process', 0.6764705882352942)","('1,2,4-trichlorobenzene metabolic process', 0.6197183098591549)"
"1,4-dihydroxy-6-naphthoate biosynthesis I","('3,4-dihydroxybenzoate biosynthetic process', 0.6987951807228916)","('3,4-dihydroxybenzoate biosynthetic process', 0.6987951807228916)","('3,4-dihydroxybenzoate biosynthetic process', 0.6987951807228916)","('1,8-dihydroxynaphthalene-melanin biosynthetic process', 0.6808510638297872)","('1,8-dihydroxynaphthalene-melanin biosynthetic process', 0.6808510638297872)"
"1,4-dihydroxy-6-naphthoate biosynthesis II","('3,4-dihydroxybenzoate biosynthetic process', 0.6904761904761905)","('3,4-dihydroxybenzoate biosynthetic process', 0.6904761904761905)","('3,4-dihydroxybenzoate biosynthetic process', 0.6904761904761905)","('1,8-dihydroxynaphthalene-melanin biosynthetic process', 0.6736842105263158)","('1,8-dihydroxynaphthalene-melanin biosynthetic process', 0.6736842105263158)"
"1,4-dimethylbenzene degradation to 4-methylbenzoate","('methionine catabolic process to 3-methylthiopropanoate', 0.5333333333333333)","('methionine catabolic process to 3-methylthiopropanoate', 0.5333333333333333)","('methionine catabolic process to 3-methylthiopropanoate', 0.5333333333333333)","('methionine catabolic process to 3-methylthiopropanoate', 0.5333333333333333)","('toluene oxidation via toluene-cis-1,2-dihydrodiol', 0.5)"
"1,5-anhydrofructose degradation","('1,5-anhydro-D-fructose catabolic process', 0.676056338028169)","('1,5-anhydro-D-fructose catabolic process', 0.676056338028169)","('1,5-anhydro-D-fructose catabolic process', 0.676056338028169)","('1,5-anhydro-D-fructose catabolic process', 0.676056338028169)","('1,5-anhydro-D-fructose catabolic process', 0.676056338028169)"
"1,8-cineole degradation","('cytidine deamination', 0.6046511627906976)","('t-circle formation', 0.5853658536585366)","('t-circle formation', 0.5853658536585366)","('interleukin-18 production', 0.58)","('DNA integration', 0.58)"
1-(<i>sn</i>-glycero-1-phospho)-1D-myo-inositol biosynthesis,"('1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate biosynthetic process', 0.63)","('1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process', 0.63)","('1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate biosynthetic process', 0.63)","('1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process', 0.63)","('inositol phosphate biosynthetic process', 0.62)"
1-(<i>sn</i>-glycero-3-phospho)-1D-myo-inositol biosynthesis,"('1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate biosynthetic process', 0.67)","('1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate biosynthetic process', 0.67)","('1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process', 0.65)","('1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process', 0.65)","('glycerol-3-phosphate biosynthetic process', 0.62)"
1-butanol autotrophic biosynthesis (engineered),"('1-butanol biosynthetic process', 0.5974025974025974)","('1-butanol biosynthetic process', 0.5974025974025974)","('1-butanol biosynthetic process', 0.5974025974025974)","('anaerobic toluene biosynthetic process', 0.58)","('anaerobic toluene biosynthetic process', 0.58)"
1-chloro-2-nitrobenzene degradation,"('protein alpha-1,2-demannosylation', 0.56)","('1,4-dichlorobenzene catabolic process', 0.5555555555555556)","('1,4-dichlorobenzene catabolic process', 0.5555555555555556)","('1,4-dichlorobenzene catabolic process', 0.5555555555555556)","('chlororespiration', 0.5384615384615384)"
1-methylpyrrolinium biosynthesis,"('5-methylcytosine biosynthetic process', 0.6666666666666666)","('5-methylcytosine biosynthetic process', 0.6666666666666666)","('5-methylcytosine biosynthetic process', 0.6666666666666666)","('rhamnolipid biosynthesis', 0.6428571428571429)","('fraxetin biosynthesis', 0.6415094339622641)"
1-tuberculosinyladenosine biosynthesis,"('tuberculosinol biosynthetic process', 0.684931506849315)","('deoxyadenosine biosynthetic process', 0.6575342465753424)","('deoxyadenosine biosynthetic process', 0.6575342465753424)","('tRNA 4-thiouridine biosynthesis', 0.64)","('sideretin biosynthesis', 0.6333333333333333)"
"10,13-epoxy-11-methyl-octadecadienoate biosynthesis","('17-methylnonadec-1-ene biosynthetic process', 0.62)","('18-methylnonadec-1-ene biosynthetic process', 0.62)","('17-methylnonadec-1-ene biosynthetic process', 0.62)","('18-methylnonadec-1-ene biosynthetic process', 0.62)","('3-(2,3-dihydroxyphenyl)propanoate biosynthetic process', 0.58)"
