Pathways	Object ID
2,4-dinitrotoluene degradation	PWY-5642
2,4-xylenol degradation to protocatechuate	PWY-7703
2,5-dichlorotoluene degradation	PWY-6191
2,5-xylenol and 3,5-xylenol degradation	PWY-7698
2,6-dinitrotoluene degradation	PWY-5643
2-allylmalonyl-CoA biosynthesis	PWY-8427
2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate	PWY-5654
2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA	PWY-5652
2-amino-3-hydroxycyclopent-2-enone biosynthesis	PWY-7536
2-aminoethylphosphonate biosynthesis	PWY-6839
2-aminoethylphosphonate degradation I	PHOSPHONOTASE-PWY
2-aminoethylphosphonate degradation II	PWY-6832
2-aminoethylphosphonate degradation III	PWY-7447
2-aminophenol degradation	PWY-6210
2-arachidonoylglycerol biosynthesis	PWY-8052
2-carboxy-1,4-naphthoquinol biosynthesis	PWY-5837
2-chloroacrylate degradation I	PWY-7425
2-chloroacrylate degradation II	PWY-7428
2-chlorobenzoate degradation	PWY-6221
2-deoxy-&alpha;-D-ribose 1-phosphate degradation	PWY-7180
2-deoxy-D-glucose 6-phosphate degradation	PWY-8121
2-deoxy-D-ribose degradation I	PWY-8060
2-deoxy-D-ribose degradation II	PWY-8058
2-heptyl-3-hydroxy-4(1<i>H</i>)-quinolone biosynthesis	PWY-6660
2-hydroxybiphenyl degradation	PWY-7008
2-hydroxyparaconate and itatartarate biosynthesis	PWY-8019
2-hydroxypenta-2,4-dienoate degradation	PWY-5162
2-hydroxyphenazine biosynthesis	PWY-5776
2-isopropylphenol degradation	PWY-7011
2-keto-L-gulonate biosynthesis	PWY-5782
2-methyl-branched fatty acid &beta;-oxidation	PWY-8181
2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	PWY-7965
2-methylcitrate cycle I	PWY0-42
2-methylcitrate cycle II	PWY-5747
2-methylisoborneol biosynthesis	PWY-7087
2-methylketone biosynthesis	PWY-6585
2-methylpropene degradation	PWY-7778
2-nitrobenzoate degradation I	PWY-5647
2-nitrobenzoate degradation II	PWY-5648
2-nitrophenol degradation	PWY-5636
2-nitrotoluene degradation	PWY-5641
2-<i>O</i>-(&beta;-D-mannosyl-(1&rarr;2)-&beta;-D-mannosyl)-bis(<i>myo</i>-inositol) 1,3'-phosphate biosynthesis	PWY-8428
2-<i>O</i>-acetyl-3-<i>O</i>-<i>trans</i>-coutarate biosynthesis	PWY-7460
2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation	PWY0-1300
2-oxobutanoate degradation I	PWY-5130
2-oxobutanoate degradation II	2OXOBUTYRATECAT-PWY
2-oxoglutarate decarboxylation to succinyl-CoA	PWY-5084
2-oxoglutarate-derived opine biosynthesis	PWY-8451
2-oxoisovalerate decarboxylation to isobutanoyl-CoA	PWY-5046
2-propylphenol degradation	PWY-7010
24-<i>epi</i>-campesterol, fucosterol, and clionasterol biosynthesis (diatoms)	PWY-8238
2&alpha;,7&beta;-dihydroxylation of taxusin	PWY-7065
3,3'-disulfanediyldipropannoate degradation	PWY-7462
3,3'-thiodipropanoate degradation	PWY-7465
3,4,6-trichlorocatechol degradation	PWY-6094
3,4-dichlorobenzoate degradation	PWY-6217
3,4-dichlorotoluene degradation	PWY-6192
3,4-dihydroxymandelonitrile &beta;-<i>D</i>-glucose biosynthesis	PWY-7095
3,5,6-trichloro-2-pyridinol degradation	PWY-7512
3,5-dichlorocatechol degradation	PWY-6084
3,5-dimethoxytoluene biosynthesis	PWY-7076
3,6-anhydro-&alpha;-L-galactopyranose degradation	PWY-7562
3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	CHLOROPHYLL-SYN
3,8-divinyl-chlorophyllide <i>a</i> biosynthesis II (anaerobic)	PWY-5531
3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	PWY-7159
3-(4-hydroxyphenyl)pyruvate biosynthesis	PWY-5886
3-(4-sulfophenyl)butanoate degradation	PWY-7521
3-(imidazol-5-yl)lactate salvage	PWY-5029
3-amino-4,7-dihydroxy-coumarin biosynthesis	PWY-7304
3-amino-5-hydroxybenzoate biosynthesis	PWY-5979
3-carene biosynthesis	PWY-6451
3-chlorobenzoate degradation I (via chlorocatechol)	PWY-6088
3-chlorobenzoate degradation II (via protocatechuate)	PWY-6216
3-chlorobenzoate degradation III (via gentisate)	PWY-6228
3-chlorocatechol degradation I (<i>ortho</i>)	PWY-6089
3-chlorocatechol degradation II (<i>ortho</i>)	PWY-6193
3-chlorocatechol degradation III (<i>meta</i> pathway)	PWY-6214
3-chlorotoluene degradation I	PWY-6103
3-chlorotoluene degradation II	PWY-6104
3-dehydroquinate biosynthesis I	PWY-6164
3-dehydroquinate biosynthesis II (archaea)	PWY-6160
3-hydroxy-4-methyl-anthranilate biosynthesis I	PWY-7717
3-hydroxy-4-methyl-anthranilate biosynthesis II	PWY-7765
3-hydroxy-4-methyl-proline biosynthesis	PWY-7648
3-hydroxy-<i>L</i>-homotyrosine biosynthesis	PWY-7649
3-hydroxypropanoate cycle	PWY-5743
3-hydroxypropanoate/4-hydroxybutanate cycle	PWY-5789
3-hydroxyquinaldate biosynthesis	PWY-7733
3-methyl-branched fatty acid &alpha;-oxidation	PWY66-387
3-methylarginine biosynthesis	PWY-6511
3-methylbutanol biosynthesis (engineered)	PWY-6871
3-methylquinoline degradation	PWY-721
3-methylthiopropanoate biosynthesis	PWY-5389
3-oxoadipate degradation	PWY-2361
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	PWY0-1277
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	HCAMHPDEG-PWY
3-phenylpropanoate degradation	P281-PWY
3-phosphoinositide biosynthesis	PWY-6352
3-phosphoinositide degradation	PWY-6368
3-sulfopropanediol degradation I	PWY-6634
3-sulfopropanediol degradation II	PWY-8214
3-sulfopropanediol degradation III	PWY-8215
3-thia-L-glutamate biosynthesis	PWY-8353
3-[(<i>E</i>)-2-isocyanoethenyl]-1<i>H</i>-indole biosynthesis	PWY-7956
3&beta;-hydroxysesquiterpene lactone biosynthesis	PWY-7497
3PG-factor 420 biosynthesis	PWY-8113
4,4'-diapolycopenedioate biosynthesis	PWY-6767
4,4'-disulfanediyldibutanoate degradation	PWY-7898
4,5-dichlorocatechol degradation	PWY-6093
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I	PWY-6890
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	PWY-7282
4-amino-3-hydroxybenzoate degradation	PWY-7006
4-aminobenzoate biosynthesis I	PWY-6543
4-aminobenzoate biosynthesis II	PWY-8276
4-aminobenzoate biosynthesis III	PWY-8281
4-aminobutanoate degradation I	PWY-6535
4-aminobutanoate degradation II	PWY-6537
4-aminobutanoate degradation III	PWY-6536
4-aminobutanoate degradation IV	PWY-6473
4-aminobutanoate degradation V	PWY-5022
4-aminophenol degradation	PWY-7081
4-chloro-2-methylphenoxyacetate degradation	PWY-6086
4-chlorobenzoate degradation	PWY-6215
4-chlorocatechol degradation	PWY-6087
4-chloronitrobenzene degradation	PWY-5645
4-coumarate degradation (aerobic)	PWY-8002
4-coumarate degradation (anaerobic)	PWY-7046
4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate degradation	PWY-6507
4-ethylphenol degradation (anaerobic)	PWY-6080
4-hydroxy-2(1<i>H</i>)-quinolone biosynthesis	PWY-6661
4-hydroxy-2-nonenal detoxification	PWY-7112
4-hydroxy-3-prenylbenzoate biosynthesis	PWY-7303
4-hydroxy-4-methyl-L-glutamate biosynthesis	PWY-7701
4-hydroxyacetophenone degradation	PWY-7002
4-hydroxybenzoate biosynthesis I (eukaryotes)	PWY-5754
4-hydroxybenzoate biosynthesis II (bacteria)	PWY-5755
4-hydroxybenzoate biosynthesis III (plants)	PWY-6435
4-hydroxybenzoate biosynthesis IV (plants)	PWY-6431
4-hydroxycoumarin and dicoumarol biosynthesis	PWY-6418
4-hydroxyindole-3-carbonyl nitrile biosynthesis	PWY-8024
4-hydroxymandelate degradation	4-HYDROXYMANDELATE-DEGRADATION-PWY
4-hydroxyphenylacetate degradation	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY
4-hydroxypyridine degradation	PWY-8432
4-methylcatechol degradation (<i>ortho</i> cleavage)	PWY-6185
4-methylphenol degradation to protocatechuate	PWY-7700
4-methylphenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	PWY-7963
4-nitrobenzoate degradation	PWY-2381
4-nitrophenol degradation I	PWY-5487
4-nitrophenol degradation II	PWY-5488
4-nitrotoluene degradation I	P421-PWY
4-nitrotoluene degradation II	PWY-5644
4-oxopentanoate degradation	PWY-7948
4-sulfocatechol degradation	PWY-6041
4-toluenecarboxylate degradation	4TOLCARBDEG-PWY
4-toluenesulfonate degradation I	TOLSULFDEG-PWY
4-toluenesulfonate degradation II	PWY-5165
5'-deoxyadenosine degradation I	PWY-8130
5'-deoxyadenosine degradation II	PWY-8131
5,5'-dehydrodivanillate degradation	PWY-6340
5,6-dehydrokavain biosynthesis (engineered)	PWY-8463
5,6-dimethylbenzimidazole biosynthesis I (aerobic)	PWY-5523
5,6-dimethylbenzimidazole biosynthesis II (anaerobic)	PWY-7729
5-(methoxycarbonylmethoxy)uridine biosynthesis	PWY0-1554
5-aminoimidazole ribonucleotide biosynthesis I	PWY-6121
5-aminoimidazole ribonucleotide biosynthesis II	PWY-6122
5-chloro-3-methyl-catechol degradation	PWY-6102
5-deoxystrigol biosynthesis	PWY-7101
5-hexynoate biosynthesis	PWY-7641
5-hydroxybenzimidazole biosynthesis (anaerobic)	PWY-8097
5-hydroxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	PWY-7969
5-hydroxymethylfurfural degradation	PWY-6995
5-methoxy-6-methylbenzimidazole biosynthesis (anaerobic)	PWY-8095
5-methoxy-6-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	PWY-7966
5-methoxybenzimidazole biosynthesis (anaerobic)	PWY-8096
5-methoxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	PWY-7967
5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	PWY-7968
5-<i>N</i>-acetylardeemin biosynthesis	PWY-7543
5-nitroanthranilate degradation	PWY-7044
5-oxo-L-proline metabolism	PWY-7942
6'-dechloromelleolide F biosynthesis	PWY-7911
6'-deoxychalcone metabolism	PWY-5161
6,7,4'-trihydroxyisoflavone biosynthesis	PWY-5061
6-diazo-5-oxo-L-norleucine biosynthesis	PWY-8297
6-gingerol analog biosynthesis (engineered)	PWY-6920
6-gingerol biosynthesis	PWY-6835
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	PWY-6147
6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (<i>Methanocaldococcus</i>)	PWY-6797
6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	PWY-7539
6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium)	PWY-7852
6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (<i>Pyrococcus</i>)	PWY-7853
6-methoxymellein biosynthesis	PWY-4922
6-methoxypodophyllotoxin biosynthesis	PWY-5479
6-methylpretetramide biosynthesis	PWY-7811
7,8-dimethylmenaquinone biosynthesis	PWY-8364
7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	PWY-7286
7-dehydroporiferasterol biosynthesis	PWY-7155
8-amino-7-oxononanoate biosynthesis I	PWY-6519
8-amino-7-oxononanoate biosynthesis II	PWY-7147
8-amino-7-oxononanoate biosynthesis III	PWY-6578
8-amino-7-oxononanoate biosynthesis IV	PWY-8203
8-methylmenaquinone biosynthesis	PWY-7864
8-<i>O</i>-methylated benzoxazinoid glucoside biosynthesis	PWY-8076
8-<i>O</i>-methylfusarubin biosynthesis	PWY-7689
8-oxo-(d)GTP detoxification I	PWY-6502
8-oxo-(d)GTP detoxification II	PWY-8061
9-<i>cis</i>, 11-<i>trans</i>-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)	PWY-7340
9-decynoate biosynthesis	PWY-8141
9-lipoxygenase and 9-allene oxide synthase pathway	PWY-5407
9-lipoxygenase and 9-hydroperoxide lyase pathway	PWY-5408
A series fagopyritols biosynthesis	PWY-5380
A-factor &gamma;-butyrolactone biosynthesis	PWY-7878
ABH and Lewis epitopes biosynthesis from type 1 precursor disaccharide	PWY-7832
ABH and Lewis epitopes biosynthesis from type 2 precursor disaccharide	PWY-7831
abietic acid biosynthesis	PWY-5411
abscisic acid biosynthesis	PWY-695
abscisic acid biosynthesis shunt	PWY4FS-17
abscisic acid degradation by glucosylation	PWY-5272
abscisic acid degradation to 7'-hydroxyabscisate	PWY-7642
abscisic acid degradation to neophaseic acid	PWY-7640
abscisic acid degradation to phaseic acid	PWY-5271
Ac/N-end rule pathway	PWY-7800
acacetin biosynthesis	PWY-5119
acetaldehyde biosynthesis I	PWY-6333
acetaldehyde biosynthesis II	PWY-6330
acetan biosynthesis	PWY-6658
acetate and ATP formation from acetyl-CoA I	PWY0-1312
acetate and ATP formation from acetyl-CoA II	PWY-5535
acetate and ATP formation from acetyl-CoA III	PWY-8328
acetate conversion to acetyl-CoA	PWY0-1313
acetate formation from acetyl-CoA (succinate)	PWY-5536
acetoacetate degradation (to acetyl CoA)	ACETOACETATE-DEG-PWY
acetoin degradation	PWY-6028
acetone degradation I (to methylglyoxal)	PWY-5451
acetone degradation II (to acetoacetate)	PWY-5533
acetone degradation III (to propane-1,2-diol)	PWY-7466
acetyl-CoA biosynthesis from citrate	PWY-5172
acetyl-CoA fermentation to butanoate	PWY-5676
acetylaszonalenin biosynthesis	PWY-7532
acetylene degradation (anaerobic)	P161-PWY
achromobactin biosynthesis	PWY-6574
acinetobactin biosynthesis	PWY-7984
acinetoferrin biosynthesis	PWY-7989
aclacinomycin biosynthesis	PWY-7354
acridone alkaloid biosynthesis	PWY-5958
acrylate degradation I	PWY-6373
acrylate degradation II	PWY-8180
acrylonitrile degradation I	PWY-7308
acrylonitrile degradation II	PWY-7309
actinomycin D biosynthesis	PWY-7718
actinorhodin biosynthesis	PWY1A0-6325
acyl carrier protein activation	PWY-6012-1
acyl carrier protein metabolism	PWY-6012
acyl-CoA hydrolysis	PWY-5148
acyl-[acyl-carrier protein] thioesterase pathway	PWY-5142
acylated cyanidin galactoside biosynthesis	PWY-7449
acylceramide biosynthesis and processing	PWY-8042
acylsucrose biosynthesis (<i>Solanum habrochaites</i>)	PWY18C3-16
acylsucrose biosynthesis (<i>Solanum pennellii</i>)	PWY18C3-15
adamantanone degradation	P481-PWY
adenine and adenosine salvage I	P121-PWY
adenine and adenosine salvage II	PWY-6605
adenine and adenosine salvage III	PWY-6609
adenine and adenosine salvage V	PWY-6611
adenine and adenosine salvage VI	PWY-6619
adenine salvage	PWY-6610
adeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	PWY-7964
adenosine 5'-phosphoramidate biosynthesis	PWY-6794
adenosine deoxyribonucleotides <i>de novo</i> biosynthesis I	PWY-7227
adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II	PWY-7220
adenosine nucleotides degradation I	PWY-6596
adenosine nucleotides degradation II	SALVADEHYPOX-PWY
adenosine nucleotides degradation III	PWY-6617
adenosine ribonucleotides <i>de novo</i> biosynthesis	PWY-7219
adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I	PWY-5509
adenosylcobalamin biosynthesis from adenosylcobinamide-GDP II	PWY-7975
adenosylcobalamin biosynthesis I (anaerobic)	PWY-5507
adenosylcobalamin biosynthesis II (aerobic)	P381-PWY
adenosylcobalamin salvage from cobalamin	PWY-6268
adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide	PWY-7962
adenosylcobinamide-GDP salvage from assorted adenosylcobamides	PWY-8282
adenosylcobinamide-GDP salvage from cobinamide I	PWY-7971
adenosylcobinamide-GDP salvage from cobinamide II	PWY-7972
adipate biosynthesis	PWY-8347
adipate degradation	PWY-8354
adlupulone and adhumulone biosynthesis	PWY-7857
ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis	PWY0-1241
aerobactin biosynthesis	AEROBACTINSYN-PWY
aerobic respiration I (cytochrome c)	PWY-3781
aerobic respiration II (cytochrome c) (yeast)	PWY-7279
aerobic respiration III (alternative oxidase pathway)	PWY-4302
aflatoxins B<sub>1</sub> and G<sub>1</sub> biosynthesis	PWY-5959
aflatoxins B<sub>2</sub> and G<sub>2</sub> biosynthesis	PWY-5960
aflatrem biosynthesis	PWY-7540
afrormosin conjugates interconversion	PWY-5926
agarose degradation	PWY-6816
ajmaline and sarpagine biosynthesis	PWY-5301
ajugose biosynthesis I (galactinol-dependent)	PWY-5342
ajugose biosynthesis II (galactinol-independent)	PWY-5343
alanine racemization	PWY-8072
alazopeptin biosynthesis	PWY-8293
albaflavenone biosynthesis	PWY-5887
alcaligin biosynthesis	PWY-6379
aldoxime degradation	P345-PWY
alginate biosynthesis I (algal)	PWY-6073
alginate biosynthesis II (bacterial)	PWY-6082
alginate degradation	PWY-6986
aliphatic glucosinolate biosynthesis, side chain elongation cycle	PWYQT-4450
alizarin biosynthesis	PWY-5802
alkane biosynthesis I	PWY-7032
alkane biosynthesis II	PWY-7033
alkane oxidation	PWY-2724
alkylnitronates degradation	PWY-723
all <i>trans</i> undecaprenyl diphosphate biosynthesis	PWY-5816
all-<i>trans</i>-decaprenyl diphosphate biosynthesis	PWY-5806
<i>all-trans</i>-farnesol biosynthesis	PWY-6859
allantoin degradation IV (anaerobic)	PWY0-41
allantoin degradation to glyoxylate I	PWY-5694
allantoin degradation to glyoxylate II	PWY-5692
allantoin degradation to glyoxylate III	PWY-5705
allantoin degradation to ureidoglycolate I (urea producing)	PWY-5697
allantoin degradation to ureidoglycolate II (ammonia producing)	PWY-5698
alliin metabolism	PWY-5706
allopregnanolone biosynthesis	PWY-7455
aloenin biosynthesis	PWY-6310
aloesone and aloesin biosynthesis	PWY-4801
aloin biosynthesis	PWY-6312
&alpha;-amyrin biosynthesis	PWY-5377
&alpha;-carotene biosynthesis	PWY-5946
&alpha;-cyclopiazonate biosynthesis	PWY-7555
&alpha;-cyclopiazonate detoxification	PWY-7558
&alpha;-diglucosyldiacylglycerol biosynthesis	PWY-7684
&alpha;-dystroglycan glycosylation	PWY-7981
&alpha;-eleostearate biosynthesis	PWY-5375
&alpha;-linolenate biosynthesis I (plants and red algae)	PWY-5997
&alpha;-linolenate biosynthesis II (cyanobacteria)	PWY-7598
&alpha;-linolenate metabolites biosynthesis	PWY-8398
&alpha;-solanine/&alpha;-chaconine biosynthesis	PWY-5666
&alpha;-tocopherol degradation	PWY-6377
&alpha;-tomatine biosynthesis	PWY18C3-3
&alpha;-tomatine degradation	PWY18C3-5
amaranthin biosynthesis	PWY-5400
<i>Amaryllidacea</i> alkaloids biosynthesis	PWY-7826
aminopropanol phosphate biosynthesis I	PWY-5443
aminopropanol phosphate biosynthesis II	PWY-7378
aminopropylcadaverine biosynthesis	PWY0-1303
ammonia assimilation cycle I	PWY-6963
ammonia assimilation cycle II	PWY-6964
ammonia assimilation cycle III	AMMASSIM-PWY
ammonia oxidation I (aerobic)	AMMOXID-PWY
ammonia oxidation II (anaerobic)	P303-PWY
ammonia oxidation III	PWY-2242
ammonia oxidation IV (autotrophic ammonia oxidizers)	PWY-7082
amygdalin and prunasin degradation	PWY-6011
anaerobic aromatic compound degradation (<i>Thauera aromatica</i>)	BENZCOA-PWY
anaerobic energy metabolism (invertebrates, cytosol)	PWY-7383
anaerobic energy metabolism (invertebrates, mitochondrial)	PWY-7384
