,TopMatch1,TopMatch2,TopMatch3,TopMatch4,TopMatch5
Fatty acid degradation,"('ultra-long-chain fatty acid biosynthesis', 0.8609892354521989)","('long-chain fatty acid activation', 0.8205339486456426)","('poly-hydroxy fatty acids biosynthesis', 0.8187443522027724)","('chlorogenic acid degradation', 0.8135774085218452)","('levopimaric acid biosynthesis', 0.8081721288571622)"
"Cutin, suberine and wax biosynthesis","('cuticular wax biosynthesis', 0.8660812461475933)","('capsidiol biosynthesis', 0.8463141594789304)","('sesquiterpenoid phytoalexins biosynthesis', 0.8251160640068413)","('ferulate and sinapate biosynthesis', 0.8211928568963222)","('diterpene phytoalexins precursors biosynthesis', 0.817466343850853)"
Steroid biosynthesis,"('glucocorticoid biosynthesis', 0.8403198308707021)","('superpathway of steroid hormone biosynthesis', 0.8039771288415299)","('androgen biosynthesis', 0.7973192322842655)","('progesterone biosynthesis', 0.7706860404184476)","('thyroid hormone biosynthesis', 0.743303605131999)"
Primary bile acid biosynthesis,"('bile acid 7&alpha;-dehydroxylation', 0.8360097603703809)","('bile acid 7&beta;-dehydroxylation', 0.8360097603703809)","('bile acid biosynthesis, neutral pathway', 0.8234312465598297)","('CMP-diacetamido-8-epilegionaminic acid biosynthesis', 0.7955972630291342)","('stellatic acid biosynthesis', 0.7955972630291342)"
Secondary bile acid biosynthesis,"('bile acid 7&alpha;-dehydroxylation', 0.8182423712956675)","('bile acid 7&beta;-dehydroxylation', 0.8182423712956675)","('bile acid biosynthesis, neutral pathway', 0.8127111346236985)","('CMP-diacetamido-8-epilegionaminic acid biosynthesis', 0.7933855600608367)","('stellatic acid biosynthesis', 0.7933855600608367)"
Steroid hormone biosynthesis,"('thyroid hormone biosynthesis', 0.8846417536232377)","('superpathway of steroid hormone biosynthesis', 0.8694448079202601)","('glucocorticoid biosynthesis', 0.8147091100199992)","('androgen biosynthesis', 0.8113419314682998)","('progesterone biosynthesis', 0.7944695156998467)"
Glycerolipid metabolism,"('sphingomyelin metabolism', 0.801878500640043)","('ethiin metabolism', 0.7706448470609737)","('N-glucosylnicotinate metabolism', 0.7706448470609737)","('mannosylerythritol lipids biosynthesis', 0.7503075209693053)","('superpathway of phosphatidylcholine biosynthesis', 0.7194872946024244)"
Glycerophospholipid metabolism,"('ethiin metabolism', 0.7826555998434187)","('N-glucosylnicotinate metabolism', 0.7826555998434187)","('cyanophycin metabolism', 0.6966506545456184)","('polyphosphate metabolism', 0.6878594790571306)","('superpathway of seleno-compound metabolism', 0.6781645366020621)"
Ether lipid metabolism,"('alliin metabolism', 0.7487161485997221)","('sphingomyelin metabolism', 0.7340148196336279)","('methiin metabolism', 0.7334622538436938)","('docosahexaenoate metabolites biosynthesis', 0.7332390624895971)","('linoleate metabolites biosynthesis', 0.7332390624895971)"
Sphingolipid metabolism,"('sphingomyelin metabolism', 0.801878500640043)","('ethiin metabolism', 0.7706448470609737)","('N-glucosylnicotinate metabolism', 0.7706448470609737)","('mannosylerythritol lipids biosynthesis', 0.7503075209693053)","('superpathway of phosphatidylcholine biosynthesis', 0.7194872946024244)"
Arachidonic acid metabolism,"('fusaric acid biosynthesis', 0.849836148527329)","('domoic acid biosynthesis', 0.8411585639777136)","('ultra-long-chain fatty acid biosynthesis', 0.8350434265112137)","('abietic acid biosynthesis', 0.8302004134759)","('betalamic acid biosynthesis', 0.8302004134759)"
Linoleic acid metabolism,"('ultra-long-chain fatty acid biosynthesis', 0.9106130524830917)","('poly-hydroxy fatty acids biosynthesis', 0.881174893304692)","('fusaric acid biosynthesis', 0.8764406389891983)","('sapienate biosynthesis', 0.8651457885529324)","('long-chain fatty acid activation', 0.8597581235661828)"
lpha-Linolenic acid metabolism,"('levopimaric acid biosynthesis', 0.9051346169203665)","('CMP-diacetamido-8-epilegionaminic acid biosynthesis', 0.8922180204513372)","('stellatic acid biosynthesis', 0.8922180204513372)","('ultra-long-chain fatty acid biosynthesis', 0.8740152316150634)","('fusaric acid biosynthesis', 0.8456005406228427)"
Biosynthesis of unsaturated fatty acids,"('poly-hydroxy fatty acids biosynthesis', 0.9224414147252418)","('long-chain fatty acid activation', 0.9191834436951781)","('3-methyl-branched fatty acid &alpha;-oxidation', 0.9076752275350842)","('ultra-long-chain fatty acid biosynthesis', 0.8991601029865571)","('2-methyl-branched fatty acid &beta;-oxidation', 0.897254755883826)"
Purine metabolism,"('bacimethrin and bacimethrin pyrophosphate biosynthesis', 0.8746703973914044)","('superpathway of purine deoxyribonucleosides degradation', 0.8668385796761499)","('superpathway of histidine, purine, and pyrimidine biosynthesis', 0.845174544987062)","('purine ribonucleosides degradation', 0.8268439590705156)","('superpathway of pyrimidine deoxyribonucleosides degradation', 0.8219861485790357)"
Pyrimidine metabolism,"('superpathway of pyrimidine deoxyribonucleosides degradation', 0.8675459475710552)","('superpathway of pyrimidine ribonucleosides degradation', 0.8675459475710552)","('superpathway of pyrimidine nucleobases salvage', 0.844648836359303)","('superpathway of histidine, purine, and pyrimidine biosynthesis', 0.8437451424336566)","('superpathway of pyrimidine ribonucleosides salvage', 0.84150781995186)"
"Alanine, aspartate and glutamate metabolism","('aspartate superpathway', 0.8664180394972908)","('alanine racemization', 0.7599347299415395)","('L-arginine degradation IX (arginine:pyruvate transaminase pathway)', 0.7550049922597774)","('glycine betaine biosynthesis IV (from glycine)', 0.6946570191905564)","('pyruvate fermentation to acetate and alanine', 0.6886836812237577)"
"Glycine, serine and threonine metabolism","('L-isoleucine biosynthesis I (from threonine)', 0.7468923379682731)","('serine racemization', 0.6982053918576845)","('glycine betaine biosynthesis IV (from glycine)', 0.6738898485380146)","('superpathway of L-serine and glycine biosynthesis I', 0.6696186145972517)","('glucosinolate biosynthesis from tyrosine', 0.6683966708562546)"
Cysteine and methionine metabolism,"('hypusine biosynthesis', 0.8425852814588248)","('superpathway of arginine and polyamine biosynthesis', 0.7660349633669123)","('homocysteine and cysteine interconversion', 0.764170994868778)","('superpathway of sulfate assimilation and cysteine biosynthesis', 0.758258904513662)","('superpathway of L-serine and glycine biosynthesis I', 0.7374472038720887)"
"Valine, leucine and isoleucine degradation","('proline betaine degradation I', 0.794569127883495)","('proline betaine degradation II', 0.7913748106419266)","('L-isoleucine biosynthesis I (from threonine)', 0.7562038740908793)","('glycine degradation', 0.7445904413683584)","('glycine betaine degradation I', 0.7245286474346354)"
"Valine, leucine and isoleucine biosynthesis","('hypusine biosynthesis', 0.8022331976315219)","('L-isoleucine biosynthesis I (from threonine)', 0.7899167144080174)","('L-proline biosynthesis II (from arginine)', 0.7673254240709644)","('proline betaine degradation I', 0.7660411663833757)","('proline betaine degradation II', 0.7620902332796016)"
Lysine biosynthesis,"('hypusine biosynthesis', 0.8409521535170063)","('L-homoserine biosynthesis', 0.7883231593928717)","('L-threonine biosynthesis', 0.7883231593928717)","('superpathway of arginine and polyamine biosynthesis', 0.7799998160607121)","('2-keto-L-gulonate biosynthesis', 0.7773982094488843)"
Lysine degradation,"('glycine degradation', 0.7400154362572193)","('D-alanine degradation', 0.7160461850516553)","('L-lyxose degradation', 0.7160461850516553)","('L-serine degradation', 0.7160461850516553)","('hypotaurine degradation', 0.6972140339225237)"
Arginine biosynthesis,"('hypusine biosynthesis', 0.8347133229908182)","('superpathway of arginine and polyamine biosynthesis', 0.826142565633137)","('L-homoserine biosynthesis', 0.8017965506672319)","('L-threonine biosynthesis', 0.8017965506672319)","('L-leucine biosynthesis', 0.8005593563175819)"
Arginine and proline metabolism,"('superpathway of arginine and polyamine biosynthesis', 0.812146623920776)","('hypusine biosynthesis', 0.771434102118567)","('L-arginine degradation V (arginine deiminase pathway)', 0.7547652649040494)","('L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)', 0.7499938456366582)","('superpathway of L-serine and glycine biosynthesis I', 0.7482451256106649)"
Histidine metabolism,"('hypusine biosynthesis', 0.7865507537440115)","('superpathway of arginine and polyamine biosynthesis', 0.7820494715069848)","('5-oxo-L-proline metabolism', 0.7621064838688721)","('superpathway of L-threonine metabolism', 0.7564973356627096)","('superpathway of sulfate assimilation and cysteine biosynthesis', 0.7353218068483589)"
Tyrosine metabolism,"('3-phosphoinositide biosynthesis', 0.6950719436929289)","('glucosinolate biosynthesis from tyrosine', 0.6373159068767833)","('ethiin metabolism', 0.6225045811226728)","('N-glucosylnicotinate metabolism', 0.6225045811226728)","('polyphosphate metabolism', 0.5983563840739249)"
Phenylalanine metabolism,"('5-oxo-L-proline metabolism', 0.7611548437852873)","('ethiin metabolism', 0.7533767092841211)","('N-glucosylnicotinate metabolism', 0.7533767092841211)","('L-tryptophan biosynthesis', 0.7458589315759421)","('superpathway of L-tryptophan biosynthesis', 0.7370751677556119)"
Tryptophan metabolism,"('5-oxo-L-proline metabolism', 0.7611548437852873)","('ethiin metabolism', 0.7533767092841211)","('N-glucosylnicotinate metabolism', 0.7533767092841211)","('L-tryptophan biosynthesis', 0.7458589315759421)","('superpathway of L-tryptophan biosynthesis', 0.7370751677556119)"
"Phenylalanine, tyrosine and tryptophan biosynthesis","('glucosinolate biosynthesis from tyrosine', 0.7840309098429585)","('hypusine biosynthesis', 0.7541676090495351)","('glucosinolate biosynthesis from tryptophan', 0.7428126471447662)","('superpathway of arginine and polyamine biosynthesis', 0.7386963974908279)","('superpathway of histidine, purine, and pyrimidine biosynthesis', 0.7293003312452131)"
beta-Alanine metabolism,"('superpathway of L-threonine metabolism', 0.8130296293235165)","('5-oxo-L-proline metabolism', 0.8071809946365706)","('superpathway of L-citrulline metabolism', 0.7800761941885603)","('ethiin metabolism', 0.7767618567848031)","('N-glucosylnicotinate metabolism', 0.7767618567848031)"
Taurine and hypotaurine metabolism,"('hypotaurine degradation', 0.7532938903893375)","('superpathway of L-citrulline metabolism', 0.747739469549347)","('superpathway of taurine degradation', 0.7343003981896821)","('superpathway of L-threonine metabolism', 0.7094190354774331)","('superpathway of seleno-compound metabolism', 0.7079800486351303)"
Phosphonate and phosphinate metabolism,"('phosphonoacetate degradation', 0.8417676764555231)","('cell-surface glycoconjugate-linked phosphonate biosynthesis', 0.7984855017502352)","('cyathin biosynthesis', 0.7572778219673126)","('serinol biosynthesis', 0.7572778219673126)","('methyl indole-3-acetate interconversion', 0.7558405460120136)"
Selenocompound metabolism,"('ethiin metabolism', 1.0000000805595497)","('N-glucosylnicotinate metabolism', 1.0000000805595497)","('superpathway of seleno-compound metabolism', 0.8484009948781981)","('5-oxo-L-proline metabolism', 0.820428681918754)","('fructosyllysine and glucosyllysine metabolism', 0.8055269900791168)"
Cyanoamino acid metabolism,"('CMP-diacetamido-8-epilegionaminic acid biosynthesis', 0.8855394162533937)","('stellatic acid biosynthesis', 0.8855394162533937)","('superpathway of fatty acid biosynthesis initiation', 0.8802250865703412)","('superpathway of jasmonoyl-amino acid conjugates biosynthesis', 0.8760994601105716)","('ultra-long-chain fatty acid biosynthesis', 0.8759634022369728)"
D-Amino acid metabolism,"('ultra-long-chain fatty acid biosynthesis', 0.8727487792944504)","('levopimaric acid biosynthesis', 0.862602413546087)","('abietic acid biosynthesis', 0.8612769484057834)","('betalamic acid biosynthesis', 0.8612769484057834)","('dehydroabietic acid biosynthesis', 0.8612769484057834)"
Glutathione metabolism,"('glutathione biosynthesis', 0.8327300192611352)","('glutathione amide metabolism', 0.7814744228818886)","('ascorbate glutathione cycle', 0.7390116907328574)","('homoglutathione biosynthesis', 0.7028735464875694)","('ophthalmate biosynthesis', 0.7028735464875694)"
N-Glycan biosynthesis,"(""(-)-4'-demethyl-epipodophyllotoxin biosynthesis"", 0.8863424641788835)","('(-)-microperfuranone biosynthesis', 0.8863424641788835)","('(2S,3E)-2-amino-4-methoxy-but-3-enoate biosynthesis', 0.8863424641788835)","('(4S)-carvone biosynthesis', 0.8863424641788835)","('(7Z,10Z,13Z)-hexadecatrienoate biosynthesis', 0.8863424641788835)"
Various types of N-glycan biosynthesis,"('acylceramide biosynthesis and processing', 0.6993784221987557)","('sporopollenin precursors biosynthesis', 0.6956139094831941)","('thalianol and derivatives biosynthesis', 0.6919964336531622)","('gala-series glycosphingolipids biosynthesis', 0.676940279269289)","('2-hydroxyparaconate and itatartarate biosynthesis', 0.6710451219212636)"
Mucin type O-glycan biosynthesis,"('ABH and Lewis epitopes biosynthesis from type 2 precursor disaccharide', 0.7428943960941286)","('ABH and Lewis epitopes biosynthesis from type 1 precursor disaccharide', 0.7416280321885091)","('spectinabilin biosynthesis', 0.736851930515788)","('IM-2 type &gamma;-butyrolactones biosynthesis', 0.7243627265804301)","('trehalose biosynthesis VI', 0.7220342664004592)"
Mannose type O-glycan biosynthesis,"('superpathway of fucose and rhamnose degradation', 0.7755978714009325)","('amaranthin biosynthesis', 0.7586939288204159)","('salicin biosynthesis', 0.7490049880464527)","('homogalacturonan biosynthesis', 0.7452146798825658)","('xylogalacturonan biosynthesis', 0.7452146798825658)"
Other types of O-glycan biosynthesis,"('acylceramide biosynthesis and processing', 0.7163506506441406)","('2-hydroxyparaconate and itatartarate biosynthesis', 0.7111311577003779)","('bassianin and desmethylbassianin biosynthesis', 0.7111311577003779)","('dalpatein and dalnigrein biosynthesis', 0.7111311577003779)","('dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis', 0.7111311577003779)"
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,"('chondroitin sulfate biosynthesis', 0.9573325220818931)","('dermatan sulfate biosynthesis', 0.954466853603046)","('heparan sulfate biosynthesis', 0.9285883954557538)","('heparan sulfate degradation', 0.9019778195392479)","('superpathway of dermatan sulfate biosynthesis', 0.8932571967540389)"
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,"('heparan sulfate biosynthesis', 0.9126242039660105)","('chondroitin sulfate biosynthesis', 0.8994741319124462)","('dermatan sulfate biosynthesis', 0.8860538693718493)","('heparan sulfate degradation', 0.8808718873585726)","('superpathway of heparan sulfate biosynthesis', 0.8549195825868399)"
Glycosaminoglycan biosynthesis - keratan sulfate,"('chondroitin sulfate biosynthesis', 0.9458463403313141)","('dermatan sulfate biosynthesis', 0.9347901297755222)","('heparan sulfate biosynthesis', 0.9232597269451923)","('chondroitin biosynthesis', 0.9112293120947557)","('superpathway of dermatan sulfate biosynthesis', 0.8919324534667974)"
Glycosaminoglycan degradation,"('hyaluronan degradation', 0.880353655124982)","('heparan sulfate degradation', 0.7731070928820364)","('ulvan degradation', 0.7649650044989108)","('chondroitin biosynthesis', 0.7355501529033057)","('glucuronoarabinoxylan degradation', 0.7305102860928747)"
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,"('spectinabilin biosynthesis', 0.731118422740299)","('gala-series glycosphingolipids biosynthesis', 0.709210401228721)","('cell-surface glycoconjugate-linked phosphocholine biosynthesis', 0.7047840562424391)","('lacto-series glycosphingolipids biosynthesis', 0.7031978950908744)","('archaetidylserine and archaetidylethanolamine biosynthesis', 0.702636306763255)"
Glycosphingolipid biosynthesis - lacto and neolacto series,"('lacto-series glycosphingolipids biosynthesis', 0.8825887929758408)","('globo-series glycosphingolipids biosynthesis', 0.8421593109820762)","('ganglio-series glycosphingolipids biosynthesis', 0.8363078480829216)","('neolacto-series glycosphingolipids biosynthesis', 0.8363078480829216)","('gala-series glycosphingolipids biosynthesis', 0.8362202916765182)"
Glycosphingolipid biosynthesis - globo and isoglobo series,"('lacto-series glycosphingolipids biosynthesis', 0.8878800643020588)","('gala-series glycosphingolipids biosynthesis', 0.8206281753556058)","('globo-series glycosphingolipids biosynthesis', 0.8185569436228575)","('ganglio-series glycosphingolipids biosynthesis', 0.8093946345819206)","('neolacto-series glycosphingolipids biosynthesis', 0.8093946345819206)"
Glycosphingolipid biosynthesis - ganglio series,"('ganglio-series glycosphingolipids biosynthesis', 0.9032431329530711)","('neolacto-series glycosphingolipids biosynthesis', 0.9032431329530711)","('lacto-series glycosphingolipids biosynthesis', 0.8937014543504692)","('gala-series glycosphingolipids biosynthesis', 0.8790064121534952)","('globo-series glycosphingolipids biosynthesis', 0.8744264644073673)"
