,TopMatch1,TopMatch2,TopMatch3,TopMatch4,TopMatch5
Propanoate metabolism,"('polyphosphate metabolism', 0.8)","('ppGpp metabolism', 0.7)","('5-oxo-L-proline metabolism', 0.68)","('pinosylvin metabolism', 0.67)","('wogonin metabolism', 0.67)"
Butanoate metabolism,"('ketogluconate metabolism', 0.73)","('alliin metabolism', 0.7)","('baicalein metabolism', 0.7)","('ethiin metabolism', 0.7)","('cyanophycin metabolism', 0.67)"
C5-Branched dibasic acid metabolism,"('coumarin metabolism (to melilotic acid)', 0.61)","('arachidonate metabolites biosynthesis', 0.58)","('glutathione amide metabolism', 0.57)","('baicalein metabolism', 0.55)","('coniferin metabolism', 0.55)"
Inositol phosphate metabolism,"('D-<i>myo</i>-inositol-5-phosphate metabolism', 0.83)","('polyphosphate metabolism', 0.75)","('thiamine triphosphate metabolism', 0.66)","('di-myo-inositol phosphate biosynthesis', 0.63)","('superpathway of D-<i>myo</i>-inositol (1,4,5)-trisphosphate metabolism', 0.62)"
Oxidative phosphorylation,"('CMP phosphorylation', 0.73)","('photorespiration II', 0.64)","('ribose phosphorylation', 0.64)","('UTP and CTP dephosphorylation I', 0.64)","('UTP and CTP dephosphorylation II', 0.63)"
Photosynthesis,"('oxygenic photosynthesis', 0.76)","('ATP biosynthesis', 0.73)","('adipate biosynthesis', 0.71)","('aloin biosynthesis', 0.69)","('acetan biosynthesis', 0.67)"
Photosynthesis - antenna proteins,"('photosynthesis light reactions', 0.69)","('protectin biosynthesis', 0.68)","('&beta;-carotene biosynthesis', 0.67)","('&alpha;-carotene biosynthesis', 0.66)","('ergothioneine biosynthesis I (bacteria)', 0.65)"
Carbon fixation in photosynthetic organisms,"('oxygenic photosynthesis', 0.55)","('ansatrienin biosynthesis', 0.54)","('nitrogen fixation I (ferredoxin)', 0.52)","('sucrose biosynthesis I (from photosynthesis)', 0.52)","('apratoxin A biosynthesis', 0.51)"
Carbon fixation pathways in prokaryotes,"('N-end rule pathway I (prokaryotic)', 0.65)","('N-end rule pathway II (prokaryotic)', 0.64)","('(R)-lactate fermentation to propanoate II (acrylate pathway)', 0.57)","('L-lysine degradation II (L-pipecolate pathway)', 0.55)","('L-tryptophan degradation V (side chain pathway)', 0.55)"
Methane metabolism,"('methiin metabolism', 0.89)","('polyphosphate metabolism', 0.67)","('sphingomyelin metabolism', 0.67)","('wogonin metabolism', 0.67)","('ppGpp metabolism', 0.65)"
Nitrogen metabolism,"('wogonin metabolism', 0.76)","('pinosylvin metabolism', 0.7)","('ppGpp metabolism', 0.69)","('methiin metabolism', 0.65)","('sphingomyelin metabolism', 0.65)"
Sulfur metabolism,"('pinosylvin metabolism', 0.68)","('ppGpp metabolism', 0.67)","('methiin metabolism', 0.63)","('sphingomyelin metabolism', 0.63)","('wogonin metabolism', 0.63)"
Fatty acid biosynthesis,"('apicidin F biosynthesis', 0.83)","('fusaric acid biosynthesis', 0.83)","('palustric acid biosynthesis', 0.8)","('stellatic acid biosynthesis', 0.8)","('jasmonic acid biosynthesis', 0.78)"
Fatty acid elongation,"('fatty acid elongation -- saturated', 0.81)","('bile acids deconjugation', 0.62)","('long-chain fatty acid activation', 0.6)","('D-malate degradation', 0.59)","('mixed acid fermentation', 0.59)"
Fatty acid degradation,"('D-malate degradation', 0.76)","('acetoin degradation', 0.73)","('cyanide degradation', 0.73)","('D-apiose degradation I', 0.73)","('D-tagatose degradation', 0.73)"
"Cutin, suberine and wax biosynthesis","('cuticular wax biosynthesis', 0.75)","('capsanthin and capsorubin biosynthesis', 0.74)","('sanguinarine and macarpine biosynthesis', 0.73)","('serotonin and melatonin biosynthesis', 0.73)","('L-serine biosynthesis I', 0.72)"
Steroid biosynthesis,"('serinol biosynthesis', 0.85)","('steviol biosynthesis', 0.85)","('ergosterol biosynthesis I', 0.84)","('lanosterol biosynthesis', 0.84)","('nerol biosynthesis', 0.84)"
Primary bile acid biosynthesis,"('iso-bile acids biosynthesis I', 0.81)","('iso-bile acids biosynthesis II', 0.8)","('isopimaric acid biosynthesis', 0.79)","('levopimaric acid biosynthesis', 0.78)","('bile acid biosynthesis, neutral pathway', 0.76)"
Secondary bile acid biosynthesis,"('iso-bile acids biosynthesis I', 0.82)","('iso-bile acids biosynthesis II', 0.81)","('bile acid biosynthesis, neutral pathway', 0.74)","('fusaric acid biosynthesis', 0.74)","('isopimaric acid biosynthesis', 0.73)"
Steroid hormone biosynthesis,"('thyroid hormone biosynthesis', 0.93)","('cholesterol biosynthesis I', 0.81)","('formononetin biosynthesis', 0.79)","('pentaketide chromone biosynthesis', 0.79)","('coumestrol biosynthesis', 0.78)"
Glycerolipid metabolism,"('alliin metabolism', 0.75)","('coniferin metabolism', 0.7)","('ethiin metabolism', 0.7)","('gossypetin metabolism', 0.68)","('baicalein metabolism', 0.65)"
Glycerophospholipid metabolism,"('alliin metabolism', 0.64)","('ethiin metabolism', 0.64)","('gossypetin metabolism', 0.63)","('cyanophycin metabolism', 0.62)","('coniferin metabolism', 0.6)"
Ether lipid metabolism,"('ethiin metabolism', 0.82)","('alliin metabolism', 0.72)","('coniferin metabolism', 0.67)","('gossypetin metabolism', 0.65)","('baicalein metabolism', 0.62)"
Sphingolipid metabolism,"('sphingomyelin metabolism', 0.85)","('pinosylvin metabolism', 0.77)","('ppGpp metabolism', 0.72)","('methiin metabolism', 0.68)","('wogonin metabolism', 0.63)"
Arachidonic acid metabolism,"('glutathione amide metabolism', 0.73)","('coumarin metabolism (to melilotic acid)', 0.69)","('alliin metabolism', 0.68)","('coniferin metabolism', 0.64)","('ethiin metabolism', 0.64)"
Linoleic acid metabolism,"('alliin metabolism', 0.73)","('baicalein metabolism', 0.73)","('glutathione amide metabolism', 0.73)","('coumarin metabolism (to melilotic acid)', 0.69)","('coniferin metabolism', 0.68)"
lpha-Linolenic acid metabolism,"('glutathione amide metabolism', 0.66)","('alliin metabolism', 0.64)","('baicalein metabolism', 0.64)","('coumarin metabolism (to melilotic acid)', 0.63)","('coniferin metabolism', 0.6)"
Biosynthesis of unsaturated fatty acids,"('superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)', 0.76)","('ultra-long-chain fatty acid biosynthesis', 0.76)","('fatty acid biosynthesis initiation (type I)', 0.75)","('fatty acid biosynthesis initiation (type II)', 0.74)","('fusaric acid biosynthesis', 0.72)"
Purine metabolism,"('5-oxo-L-proline metabolism', 0.74)","('methiin metabolism', 0.74)","('pinosylvin metabolism', 0.74)","('wogonin metabolism', 0.74)","('ppGpp metabolism', 0.73)"
Pyrimidine metabolism,"('methiin metabolism', 0.72)","('5-oxo-L-proline metabolism', 0.68)","('pinosylvin metabolism', 0.67)","('sphingomyelin metabolism', 0.67)","('wogonin metabolism', 0.67)"
"Alanine, aspartate and glutamate metabolism","('glutathione amide metabolism', 0.66)","('ketogluconate metabolism', 0.58)","('poly-&gamma;-D-glutamate biosynthesis', 0.52)","('alliin metabolism', 0.51)","('&alpha;-linolenate metabolites biosynthesis', 0.51)"
"Glycine, serine and threonine metabolism","('superpathway of L-threonine metabolism', 0.68)","('thyronamine and iodothyronamine metabolism', 0.59)","('sphingosine and sphingosine-1-phosphate metabolism', 0.58)","('acyl carrier protein metabolism', 0.57)","('glutathione amide metabolism', 0.57)"
Cysteine and methionine metabolism,"('thyronamine and iodothyronamine metabolism', 0.71)","('methiin metabolism', 0.69)","('L-methionine degradation I (to L-homocysteine)', 0.62)","('ecdysteroid metabolism (arthropods)', 0.6)","('baicalein metabolism', 0.59)"
"Valine, leucine and isoleucine degradation","('L-isoleucine degradation I', 0.72)","('L-valine degradation II', 0.72)","('L-isoleucine degradation II', 0.71)","('L-valine degradation I', 0.7)","('limonene degradation I (D-limonene)', 0.7)"
"Valine, leucine and isoleucine biosynthesis","('L-isoleucine biosynthesis V', 0.78)","('solasodine and soladulcidine biosynthesis', 0.72)","('L-isoleucine biosynthesis II', 0.71)","('L-isoleucine biosynthesis IV', 0.71)","('glycine betaine biosynthesis IV (from glycine)', 0.7)"
Lysine biosynthesis,"('hypusine biosynthesis', 0.9)","('L-lysine biosynthesis I', 0.9)","('L-lysine biosynthesis V', 0.9)","('maysin biosynthesis', 0.89)","('calystegine biosynthesis', 0.88)"
Lysine degradation,"('glycine degradation', 0.92)","('L-lysine degradation I', 0.9)","('L-lysine degradation V', 0.9)","('L-lysine degradation X', 0.9)","('L-serine degradation', 0.89)"
Arginine biosynthesis,"('arginomycin biosynthesis', 0.89)","('aurone biosynthesis', 0.85)","('ansatrienin biosynthesis', 0.84)","('aloenin biosynthesis', 0.83)","('aloin biosynthesis', 0.82)"
Arginine and proline metabolism,"('acyl carrier protein metabolism', 0.74)","('5-oxo-L-proline metabolism', 0.7)","('thyronamine and iodothyronamine metabolism', 0.68)","('anthocyanidin sophoroside metabolism', 0.66)","('coumarin metabolism (to melilotic acid)', 0.62)"
Histidine metabolism,"('ethiin metabolism', 0.81)","('alliin metabolism', 0.76)","('gossypetin metabolism', 0.73)","('baicalein metabolism', 0.7)","('coniferin metabolism', 0.7)"
Tyrosine metabolism,"('methiin metabolism', 0.76)","('wogonin metabolism', 0.76)","('pinosylvin metabolism', 0.75)","('5-oxo-L-proline metabolism', 0.71)","('polyphosphate metabolism', 0.7)"
Phenylalanine metabolism,"('pinosylvin metabolism', 0.76)","('L-phenylalanine degradation V', 0.68)","('methiin metabolism', 0.67)","('sphingomyelin metabolism', 0.67)","('wogonin metabolism', 0.67)"
Tryptophan metabolism,"('polyphosphate metabolism', 0.76)","('methiin metabolism', 0.72)","('ppGpp metabolism', 0.7)","('thiamine triphosphate metabolism', 0.68)","('wogonin metabolism', 0.67)"
"Phenylalanine, tyrosine and tryptophan biosynthesis","('superpathway of L-phenylalanine and L-tyrosine biosynthesis', 0.77)","('paxilline and diprenylpaxilline biosynthesis', 0.7)","('phosphatidylserine and phosphatidylethanolamine biosynthesis I', 0.7)","('secologanin and strictosidine biosynthesis', 0.7)","('serotonin and melatonin biosynthesis', 0.7)"
beta-Alanine metabolism,"('alliin metabolism', 0.75)","('&beta;-alanine betaine biosynthesis', 0.71)","('baicalein metabolism', 0.7)","('&beta;-alanine degradation I', 0.69)","('&beta;-alanine degradation II', 0.68)"
Taurine and hypotaurine metabolism,"('thyronamine and iodothyronamine metabolism', 0.74)","('acyl carrier protein metabolism', 0.65)","('coumarin metabolism (to melilotic acid)', 0.62)","('cyanophycin metabolism', 0.61)","('glutathione amide metabolism', 0.61)"
Phosphonate and phosphinate metabolism,"('polyphosphate metabolism', 0.71)","('sphingosine and sphingosine-1-phosphate metabolism', 0.7)","('D-<i>myo</i>-inositol-5-phosphate metabolism', 0.61)","('NAD phosphorylation and dephosphorylation', 0.61)","('phosphatidate metabolism, as a signaling molecule', 0.58)"
Selenocompound metabolism,"('pinosylvin metabolism', 0.61)","('sphingomyelin metabolism', 0.61)","('methiin metabolism', 0.6)","('wogonin metabolism', 0.6)","('ppGpp metabolism', 0.59)"
Cyanoamino acid metabolism,"('cyanophycin metabolism', 0.75)","('alliin metabolism', 0.7)","('baicalein metabolism', 0.7)","('coumarin metabolism (to melilotic acid)', 0.67)","('coniferin metabolism', 0.65)"
D-Amino acid metabolism,"('alliin metabolism', 0.75)","('baicalein metabolism', 0.74)","('coniferin metabolism', 0.7)","('ethiin metabolism', 0.7)","('coumarin metabolism (to melilotic acid)', 0.67)"
Glutathione metabolism,"('glutathione amide metabolism', 0.88)","('ethiin metabolism', 0.77)","('ketogluconate metabolism', 0.74)","('alliin metabolism', 0.72)","('gossypetin metabolism', 0.7)"
N-Glycan biosynthesis,"('glycine biosynthesis I', 0.88)","('(-)-glycinol biosynthesis', 0.86)","('glycine biosynthesis II', 0.86)","('glycine biosynthesis IV', 0.86)","('glycine biosynthesis III', 0.84)"
Various types of N-glycan biosynthesis,"('lanosterol biosynthesis', 0.69)","('fusarin C biosynthesis', 0.67)","('glycine biosynthesis I', 0.67)","('glycine biosynthesis II', 0.66)","('glycine biosynthesis IV', 0.66)"
Mucin type O-glycan biosynthesis,"('(-)-glycinol biosynthesis', 0.75)","('carminate biosynthesis', 0.74)","('glycine biosynthesis I', 0.74)","('L-leucine biosynthesis', 0.74)","('glycine biosynthesis II', 0.73)"
Mannose type O-glycan biosynthesis,"('GDP-mannose biosynthesis', 0.76)","('glycine biosynthesis I', 0.71)","('isovitexin glycosides biosynthesis', 0.71)","('canavanine biosynthesis', 0.7)","('glycine biosynthesis II', 0.7)"
Other types of O-glycan biosynthesis,"('lanosterol biosynthesis', 0.68)","('(-)-glycinol biosynthesis', 0.67)","('monoterpene biosynthesis', 0.67)","('glycine biosynthesis I', 0.66)","('glycyrrhetinate biosynthesis', 0.66)"
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,"('superpathway of chondroitin sulfate biosynthesis', 0.68)","('chondroitin sulfate biosynthesis', 0.65)","('superpathway of dermatan sulfate biosynthesis', 0.64)","('glycosaminoglycan-protein linkage region biosynthesis', 0.62)","('dermatan sulfate biosynthesis', 0.6)"
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,"('glycosaminoglycan-protein linkage region biosynthesis', 0.73)","('heparan sulfate biosynthesis', 0.68)","('hesperitin glycoside biosynthesis', 0.64)","('glucosylglycerate biosynthesis I', 0.63)","('glucosylglycerate biosynthesis II', 0.62)"
Glycosaminoglycan biosynthesis - keratan sulfate,"('glycosaminoglycan-protein linkage region biosynthesis', 0.77)","('dermatan sulfate biosynthesis', 0.72)","('glucosylglycerate biosynthesis I', 0.69)","('glucosylglycerate biosynthesis II', 0.68)","('heparan sulfate biosynthesis', 0.68)"
Glycosaminoglycan degradation,"('D-glucosaminate degradation', 0.79)","('glycine degradation', 0.75)","('glucuronoarabinoxylan degradation', 0.74)","('gellan degradation', 0.72)","('glycolate degradation II', 0.72)"
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,"('phosphatidylinositol biosynthesis I (bacteria)', 0.77)","('phosphatidylinositol mannoside biosynthesis', 0.74)","('phosphatidylinositol biosynthesis II (eukaryotes)', 0.73)","('inositol diphosphates biosynthesis', 0.67)","('phosphatidylcholine biosynthesis VII', 0.66)"
Glycosphingolipid biosynthesis - lacto and neolacto series,"('neolacto-series glycosphingolipids biosynthesis', 0.89)","('lacto-series glycosphingolipids biosynthesis', 0.86)","('gala-series glycosphingolipids biosynthesis', 0.75)","('globo-series glycosphingolipids biosynthesis', 0.74)","('ganglio-series glycosphingolipids biosynthesis', 0.73)"
Glycosphingolipid biosynthesis - globo and isoglobo series,"('globo-series glycosphingolipids biosynthesis', 0.88)","('gala-series glycosphingolipids biosynthesis', 0.83)","('ganglio-series glycosphingolipids biosynthesis', 0.82)","('lacto-series glycosphingolipids biosynthesis', 0.8)","('neolacto-series glycosphingolipids biosynthesis', 0.8)"
Glycosphingolipid biosynthesis - ganglio series,"('ganglio-series glycosphingolipids biosynthesis', 0.99)","('gala-series glycosphingolipids biosynthesis', 0.93)","('globo-series glycosphingolipids biosynthesis', 0.92)","('lacto-series glycosphingolipids biosynthesis', 0.83)","('neolacto-series glycosphingolipids biosynthesis', 0.8)"
Other glycan degradation,"('glycine degradation', 0.84)","('glycerol degradation I', 0.78)","('glycerol degradation V', 0.78)","('glycogen degradation I', 0.78)","('D-gluconate degradation', 0.77)"
Lipopolysaccharide biosynthesis,"('heliocides biosynthesis', 0.74)","('L-pyrrolysine biosynthesis', 0.74)","('phosalacine biosynthesis', 0.73)","('salidroside biosynthesis', 0.73)","('linamarin biosynthesis', 0.72)"
O-Antigen repeat unit biosynthesis,"('arctigenin and isoarctigenin biosynthesis', 0.69)","('hopanoid biosynthesis (bacteria)', 0.69)","('<i>cis</i>-abienol biosynthesis', 0.68)","('enterobacterial common antigen biosynthesis', 0.68)","('ochratoxin A biosynthesis', 0.68)"
O-Antigen nucleotide sugar biosynthesis,"('apigenin glycosides biosynthesis', 0.7)","('aromatic polyketides biosynthesis', 0.67)","('5-aminoimidazole ribonucleotide biosynthesis I', 0.66)","('apigeninidin 5-<i>O</i>-glucoside biosynthesis', 0.66)","('<i>Brucella abortus</i> O antigen biosynthesis', 0.66)"
Peptidoglycan biosynthesis,"('hypoglycin biosynthesis', 0.82)","('indolmycin biosynthesis', 0.82)","('succinoglycan biosynthesis', 0.81)","('heptadecane biosynthesis', 0.8)","('indican biosynthesis', 0.78)"
Teichoic acid biosynthesis,"('domoic acid biosynthesis', 0.84)","('stellatic acid biosynthesis', 0.83)","('palustric acid biosynthesis', 0.79)","('fusaric acid biosynthesis', 0.78)","('neoabietic acid biosynthesis', 0.78)"
Lipoarabinomannan (LAM) biosynthesis,"('lampranthin biosynthesis', 0.72)","('linamarin biosynthesis', 0.71)","('paromamine biosynthesis I', 0.71)","('lipoxin biosynthesis', 0.7)","('paromamine biosynthesis II', 0.7)"
Arabinogalactan biosynthesis - Mycobacterium,"('mycobactin biosynthesis', 0.68)","('mycolyl-arabinogalactan-peptidoglycan complex biosynthesis', 0.68)","('dehydro-D-arabinono-1,4-lactone biosynthesis', 0.65)","('benzoyl-CoA biosynthesis', 0.64)","('CDP-D-arabitol biosynthesis', 0.64)"
Exopolysaccharide biosynthesis,"('ephedrine biosynthesis', 0.73)","('polyacyltrehalose biosynthesis', 0.73)","('colchicine biosynthesis', 0.72)","('heliocides biosynthesis', 0.72)","('hypoglycin biosynthesis', 0.72)"
Thiamine metabolism,"('methiin metabolism', 0.86)","('thiamine triphosphate metabolism', 0.75)","('sphingomyelin metabolism', 0.74)","('wogonin metabolism', 0.7)","('pinosylvin metabolism', 0.65)"
Riboflavin metabolism,"('pinosylvin metabolism', 0.81)","('methiin metabolism', 0.72)","('wogonin metabolism', 0.72)","('5-oxo-L-proline metabolism', 0.68)","('polyphosphate metabolism', 0.62)"
Vitamin B6 metabolism,"('methiin metabolism', 0.72)","('pinosylvin metabolism', 0.67)","('wogonin metabolism', 0.67)","('5-oxo-L-proline metabolism', 0.6)","('thiamine triphosphate metabolism', 0.6)"
Nicotinate and nicotinamide metabolism,"('thiamine triphosphate metabolism', 0.63)","('nicotinate degradation I', 0.58)","('nicotinate degradation II', 0.57)","('nicotinate degradation III', 0.56)","('sphingomyelin metabolism', 0.55)"
Pantothenate and CoA biosynthesis,"('pinolenate and coniferonate biosynthesis', 0.79)","('phosphopantothenate biosynthesis I', 0.78)","('camptothecin biosynthesis', 0.76)","('phosphopantothenate biosynthesis II', 0.76)","('&beta;-carotene biosynthesis', 0.75)"
Biotin metabolism,"('alliin metabolism', 0.82)","('ethiin metabolism', 0.82)","('baicalein metabolism', 0.81)","('gossypetin metabolism', 0.79)","('coniferin metabolism', 0.76)"
Lipoic acid metabolism,"('alliin metabolism', 0.77)","('glutathione amide metabolism', 0.72)","('coumarin metabolism (to melilotic acid)', 0.71)","('baicalein metabolism', 0.67)","('coniferin metabolism', 0.67)"
Folate biosynthesis,"('oxalate biosynthesis', 0.92)","('mycolate biosynthesis', 0.9)","('ursolate biosynthesis', 0.9)","('gallate biosynthesis', 0.87)","('oleanolate biosynthesis', 0.86)"
One carbon pool by folate,"('quinoxaline-2-carboxylate biosynthesis', 0.51)","('sulfate activation for sulfonation', 0.51)","('ubiquinol-10 biosynthesis (late decarboxylation)', 0.51)","('ubiquinol-6 biosynthesis (late decarboxylation)', 0.51)","('ubiquinol-7 biosynthesis (late decarboxylation)', 0.51)"
Retinol metabolism,"('methiin metabolism', 0.83)","('pinosylvin metabolism', 0.77)","('wogonin metabolism', 0.72)","('sphingomyelin metabolism', 0.71)","('ppGpp metabolism', 0.65)"
Porphyrin metabolism,"('methiin metabolism', 0.74)","('wogonin metabolism', 0.74)","('ppGpp metabolism', 0.72)","('pinosylvin metabolism', 0.68)","('polyphosphate metabolism', 0.68)"
Ubiquinone and other terpenoid-quinone biosynthesis,"('lupulone and humulone biosynthesis', 0.66)","('wighteone and luteone biosynthesis', 0.66)","('colupulone and cohumulone biosynthesis', 0.65)","('tetracycline and oxytetracycline biosynthesis', 0.65)","('ubiquinol-6 biosynthesis (late decarboxylation)', 0.65)"
Terpenoid backbone biosynthesis,"('hopanoid biosynthesis (bacteria)', 0.75)","('alkane biosynthesis I', 0.73)","('terpentecin biosynthesis', 0.73)","('alkane biosynthesis II', 0.72)","('terrequinone A biosynthesis', 0.72)"
Monoterpenoid biosynthesis,"('monoterpene biosynthesis', 0.92)","('rotenoid biosynthesis I', 0.82)","('mangrove triterpenoid biosynthesis', 0.8)","('rotenoid biosynthesis II', 0.8)","('terpentecin biosynthesis', 0.8)"
Sesquiterpenoid and triterpenoid biosynthesis,"('eugenol and isoeugenol biosynthesis', 0.68)","('mangrove triterpenoid biosynthesis', 0.68)","('pentacyclic triterpene biosynthesis', 0.68)","('echinomycin and triostin A biosynthesis', 0.67)","('geraniol and geranial biosynthesis', 0.66)"
Diterpenoid biosynthesis,"('rotenoid biosynthesis I', 0.85)","('rotenoid biosynthesis II', 0.83)","('terpentecin biosynthesis', 0.83)","('diploterol biosynthesis', 0.81)","('dicranin biosynthesis', 0.8)"
Carotenoid biosynthesis,"('rotenoid biosynthesis I', 0.91)","('rotenoid biosynthesis II', 0.89)","('costunolide biosynthesis', 0.85)","('crotonosine biosynthesis', 0.85)","('C20 prostanoid biosynthesis', 0.84)"
Brassinosteroid biosynthesis,"('brassinolide biosynthesis I', 0.84)","('brassinolide biosynthesis II', 0.82)","('lanosterol biosynthesis', 0.82)","('ergosterol biosynthesis I', 0.79)","('ergosterol biosynthesis II', 0.78)"
Insect hormone biosynthesis,"('formononetin biosynthesis', 0.81)","('thyroid hormone biosynthesis', 0.8)","('choline biosynthesis I', 0.78)","('L-threonine biosynthesis', 0.78)","('chorismate biosynthesis I', 0.77)"
Zeatin biosynthesis,"('creatine biosynthesis', 0.9)","('zealexin biosynthesis', 0.9)","('zeaxanthin biosynthesis', 0.9)","('echinatin biosynthesis', 0.88)","('(+)-pisatin biosynthesis', 0.87)"
Limonene degradation,"('L-mimosine degradation', 0.86)","('isoprene degradation', 0.85)","('glycine degradation', 0.82)","('juglone degradation', 0.82)","('linuron degradation', 0.82)"
"Pinene, camphor and geraniol degradation","('geraniol and nerol degradation', 0.78)","('(<i>S</i>)-camphor degradation', 0.72)","('<i>cis</i>-geranyl-CoA degradation', 0.69)","('1-chloro-2-nitrobenzene degradation', 0.68)","('ethene and chloroethene degradation', 0.68)"
